LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
12493,4,5,1960,1100,1100,1,312,141000
14364,7,5,1988,1157,2062,2,454,277000
8250,6,7,1964,1092,1092,2,504,145000
5604,5,6,1925,864,864,0,0,98000
10420,6,5,2009,1212,1212,2,460,186000
8640,7,5,2009,900,1852,2,644,252678
13568,5,5,1995,990,990,2,576,156000
10900,6,7,1977,689,1392,1,299,161750
10011,5,6,1957,1070,1236,1,447,134450
8450,7,5,2004,1436,1436,2,484,210000
9906,4,4,1925,686,1328,1,210,107000
15660,7,9,1939,798,1954,2,431,311500
3010,7,5,2005,1248,1248,2,438,167240
8990,7,5,2006,1498,1498,2,675,204900
8068,6,5,2002,1010,2267,2,390,200000
11475,6,6,1975,713,1552,2,434,179900
10500,4,6,1971,864,864,2,576,97000
13472,10,5,2003,2392,2392,3,968,386250
1680,5,5,1971,630,1302,1,280,112000
9950,7,5,1995,1203,2520,3,721,290000
1869,6,6,1970,483,987,1,280,106000
8521,5,5,1967,912,912,1,336,125000
3182,7,5,2005,1373,1555,2,430,192500
8760,6,6,1959,1194,1194,1,312,148000
15138,8,5,1995,1462,2794,3,810,403000
1680,6,5,1972,483,987,1,288,94500
10650,5,6,1976,894,894,1,308,128200
7851,6,5,2002,860,1960,2,440,216500
1680,6,3,1971,483,987,1,264,89500
8773,7,5,2004,1414,1414,2,494,185500
9453,7,7,1993,996,1744,2,457,194500
12030,8,5,2007,1694,1694,3,818,318000
8741,6,4,1945,735,1487,1,220,113000
9000,8,5,2008,1566,1566,2,750,262500
3880,5,9,1945,686,866,0,0,110500
5000,5,4,1900,540,1440,1,352,79000
10762,6,6,1980,626,1217,1,288,120000
8880,7,5,1994,948,2110,2,463,205000
10400,7,5,1988,1845,1872,2,604,241500
9142,6,8,1910,1020,1928,1,440,137000
11310,6,5,1954,1367,1375,2,451,140000
11317,7,5,2003,840,1668,2,500,180000
159000,6,7,1958,1444,2144,2,389,277000
5350,3,2,1940,728,1306,0,0,76500
4750,8,5,2006,1573,1625,2,538,235000
8366,6,5,2004,798,1640,2,520,173000
9350,6,7,1964,1302,1302,1,309,158000
8400,5,6,1957,1314,1314,1,294,145000
8738,7,5,1999,975,2291,2,429,230000
8791,6,5,2003,864,1728,2,673,207500
8814,7,5,2006,1604,1604,2,660,220000
12435,7,5,2001,963,1792,2,564,231500
12702,5,5,1956,0,882,1,308,97000
19296,6,5,1962,1362,1382,2,884,176000
9588,8,5,2007,1482,2574,3,868,276000
8471,6,7,1977,506,1212,2,492,151000
5500,5,7,1929,926,1316,2,484,130000
5232,5,5,1925,680,764,2,504,73000
12090,6,6,1981,1422,1422,2,576,175500
11207,6,5,1997,802,1511,2,413,185000
8400,5,8,1939,720,2192,1,240,179500
6900,5,6,1940,740,778,1,924,120500
7917,6,7,1976,1143,1113,1,504,148000
10728,8,5,2006,1095,1939,3,1053,266000
39104,7,7,1954,1385,1363,2,439,241500
11764,8,7,1999,1152,2270,3,671,290000
9600,6,6,1958,1240,1632,1,338,139000
8314,5,7,1982,816,816,1,264,124500
7264,7,7,1925,952,1548,2,672,205000
9196,7,5,2003,1560,1560,2,573,201000
19138,4,5,1951,864,864,2,400,141000
14450,9,5,2006,2121,2121,3,732,415298
10005,7,5,1977,1160,2022,2,505,192000
11287,7,6,1989,807,1982,2,575,228500
7200,6,5,2006,1262,1262,2,572,185000
5063,7,5,2007,1314,1314,2,626,207500
9612,8,5,2008,1468,1468,3,898,244600
8012,6,5,1992,1575,1575,2,529,179200
4251,7,5,2006,625,1250,2,528,164700
9786,6,7,1962,912,1734,2,440,159000
8125,4,4,1971,858,858,0,0,88000
9819,5,5,1967,882,900,1,280,122000
8730,6,7,1915,698,1396,1,384,153575
15611,8,5,2006,1079,1919,2,685,233230
5687,5,6,1912,780,1716,0,0,135900
11409,5,4,1949,768,1716,1,281,131000
16659,7,7,1977,795,2263,2,539,235000
9600,6,5,1953,1416,1644,2,418,167000
7937,6,6,1984,1003,1003,2,588,142500
13710,5,5,1950,910,1558,1,282,152000
7399,7,5,1997,975,1950,2,576,239000
11700,6,6,1968,702,1743,2,539,175000
14000,6,8,1950,1092,1152,1,300,158500
15750,5,5,1953,1165,1336,1,375,157000
16226,8,5,1998,1028,2452,2,683,267000
13704,7,5,2001,1541,1541,3,843,205000
9800,5,7,1972,894,894,2,552,149900
18386,7,9,1880,1470,3493,3,870,295000
10386,8,5,2004,2000,2000,3,888,305900
13474,7,5,1990,700,2243,3,746,225000
7920,6,7,1920,319,1406,0,0,89500
12342,4,5,1940,861,861,2,539,82500
12378,9,5,2003,1896,1944,3,708,360000
7685,6,5,1993,697,1501,2,420,165600
8000,6,6,1948,972,972,1,240,132000
7800,5,7,1939,793,1118,2,410,119900
215245,7,5,1965,2136,2036,2,513,375000
9600,7,7,1925,728,1641,2,546,178000
7795,7,5,2004,716,1432,2,432,188500
13005,7,7,1980,845,2353,2,484,260000
9000,8,5,2006,1088,1959,3,1025,270000
9900,7,5,1993,1347,2646,3,656,260000
14115,7,5,1980,1372,1472,2,588,187500
16259,9,5,2006,1249,2596,3,840,342643
12099,8,5,2004,1136,2468,3,872,354000
10380,7,5,1986,1502,2730,2,576,301000
5820,3,8,1955,1162,1163,1,220,126175
11275,7,7,1967,710,2978,2,564,242000
5000,5,6,1941,720,803,2,360,87000
10846,8,5,1993,1719,1719,2,473,324000
11600,6,5,1960,1383,1383,1,292,145250
11888,6,6,1916,844,2134,2,441,214500
6402,5,5,1920,596,1192,1,189,78000
10624,5,4,1964,1728,1728,1,352,119000
8176,5,6,1958,1056,1056,1,308,139000
10655,8,5,2003,3206,1629,3,880,284000
8198,7,5,2004,1358,1358,2,484,207000
9042,6,5,1998,943,1638,2,472,192000
164660,5,6,1965,1499,1786,2,529,228950
14157,9,5,2005,1922,1922,3,676,377426
9135,7,5,2002,1536,1536,2,532,214000
14145,7,7,1984,1208,1621,2,440,202500
12400,6,7,1958,1215,1215,1,297,155000
14191,8,5,2002,967,1908,2,431,202900
8400,4,4,1950,721,841,1,294,82000
8544,3,4,1949,0,1040,2,400,87500
8849,9,5,2005,1684,1684,2,564,266000
2592,5,3,1976,536,1112,1,336,85000
6435,6,5,1939,972,1577,1,312,140200
12772,6,8,1960,958,958,1,301,151500
17600,6,5,1960,1478,1478,2,498,157500
2448,7,5,2003,764,1626,2,474,154000
20431,9,5,2005,1848,2728,3,706,437154
7820,9,5,2007,1869,1869,2,617,318061
5271,7,5,1986,1453,1453,2,445,190000
9084,5,6,1941,616,1111,1,200,95000
8520,6,8,1928,624,720,2,484,105900
8400,6,5,1940,940,1595,1,240,140000
11249,6,5,1995,1200,1200,2,521,177500
9248,6,6,1992,1158,1167,2,400,173000
4224,5,5,1976,1142,1142,2,528,134000
6930,5,4,1958,1062,1352,1,288,130000
12011,8,5,1998,1086,1924,2,592,280000
7540,6,6,1978,888,912,2,470,156000
9144,5,5,1940,883,1505,1,240,145000
7301,7,5,2003,0,1922,2,672,198500
1680,6,8,1972,483,987,1,264,118000
18800,6,5,1976,796,1574,2,566,190000
10690,5,7,1920,672,1344,1,468,147000
9500,6,5,1963,1394,1394,2,514,159000
9150,6,5,1962,1099,1431,1,296,165000
7800,5,6,1954,1268,1268,1,244,132000
9830,5,7,1959,1063,1287,2,576,162000
8121,6,5,2000,953,1664,2,460,172400
17120,4,4,1959,0,1588,2,680,134432
7175,6,5,1984,744,752,1,264,125000
10634,5,6,1953,608,1319,1,270,123000
8200,7,5,2003,847,1928,2,434,219500
10020,1,1,1922,683,904,0,0,61000
8846,5,5,1996,870,914,2,576,148000
11143,8,5,2004,1580,2466,2,610,340000
11394,9,2,2010,1856,1856,3,834,394432
8123,6,5,2000,982,1800,2,463,179000
5000,5,6,1924,1026,1691,1,308,127000
7200,7,5,2006,1293,1301,2,572,187750
9245,7,5,2006,939,1797,2,639,213500
9000,6,3,1928,784,784,2,360,76000
53107,6,5,1992,1580,1953,2,501,240000
3182,8,5,2004,1256,1269,2,430,192000
8410,5,3,1910,658,1184,0,0,81000
7200,6,6,1976,1041,1125,1,352,125000
9382,7,5,1999,1468,1479,2,577,191000
12474,10,5,2007,1682,2332,3,846,426000
8405,5,8,1900,861,1367,1,384,119000
12209,6,5,2001,804,1961,2,560,215000
8339,5,7,1959,0,882,1,294,106500
7446,4,5,1941,788,788,0,0,100000
10134,5,6,1940,735,1034,1,240,109000
9571,5,6,1956,1144,1144,1,596,129000
7200,5,5,1972,894,894,2,600,123000
7590,5,5,1962,864,1812,1,264,169500
8967,5,2,1920,961,1077,1,338,67000
8125,7,5,2006,1092,1550,2,438,241000
14963,8,5,1996,1260,1288,2,500,245500
8767,7,5,2005,1310,1310,2,400,164990
10200,5,8,1940,672,672,1,240,108000
12090,8,5,1998,1141,2263,2,420,258000
10364,6,5,1995,806,1572,2,373,168000
9991,4,4,1976,1281,1620,2,490,150000
10480,6,5,1936,1064,1639,1,240,115000
15576,6,7,1915,840,1680,1,308,177000
14154,7,5,2006,1063,2172,3,947,280000
10800,8,5,2007,1034,2078,3,836,339750
9571,5,3,1958,1276,1276,1,350,60000
34650,5,5,1955,1056,1056,2,572,145000
4403,7,5,2009,1470,1478,2,484,222000
8960,5,6,1927,1008,1028,2,360,115000
11228,7,5,1993,1080,2097,3,678,228000
8899,7,5,2007,1340,1340,2,396,181134
7844,6,7,1978,672,1400,2,440,149500
22420,6,6,1918,1370,2624,3,864,239000
8160,5,6,1940,756,1134,1,240,126000
8450,5,6,1968,1056,1056,1,304,142000
7060,7,5,1997,1344,1344,4,784,206300
16635,6,7,1977,1602,1602,2,529,215000
21750,5,5,1954,988,988,2,520,113000
9200,8,5,1998,1470,2630,3,696,315000
9000,6,5,1956,1196,1196,1,297,139000
3378,7,8,1946,651,1389,1,240,135000
12800,7,5,1989,1518,1644,2,569,275000
8593,4,6,1957,907,907,1,352,109008
6762,7,5,2007,1208,1208,2,628,195400
11457,6,5,1988,1392,1412,2,576,175000
1680,6,5,1971,483,987,1,264,85400
5586,6,7,1920,901,1198,0,0,79900
1920,5,5,1971,765,1365,2,440,122500
10839,6,5,1997,926,1604,2,470,181000
1890,4,7,1972,630,630,0,0,81000
10667,7,6,1996,799,1661,2,550,212000
4400,6,8,1920,648,1118,2,440,116000
6000,6,7,1926,884,904,1,180,119000
4280,5,6,1913,440,694,1,352,90350
12354,6,8,1920,684,1196,2,528,110000
15431,10,5,2008,3094,2402,3,672,555000
12108,4,4,1955,1440,1440,0,0,118000
6240,5,7,1930,1078,1573,2,360,162900
3922,7,5,2006,1258,1258,3,648,172500
8750,7,5,1994,915,1908,2,493,210000
9855,6,5,1956,1436,1689,2,480,127500
16492,6,6,1966,1517,1888,2,578,190000
11214,7,5,1998,930,1886,2,431,199900
8600,6,6,1937,780,1376,1,198,119500
6000,3,7,1948,649,1183,1,308,120000
5684,6,8,1930,813,813,1,270,110000
70761,7,5,1975,1533,1533,2,576,280000
9303,6,5,1996,872,1756,2,422,204000
9000,8,5,2008,768,1590,2,676,210000
9297,5,5,1976,1728,1728,2,560,188000
9600,7,6,1973,1242,1242,2,528,175500
4571,5,5,1916,624,1344,3,513,98000
53227,4,6,1954,1364,1663,2,529,256000
5100,8,7,1925,588,1666,1,228,161000
7015,5,4,1950,709,1203,1,352,110000
8004,8,5,2009,832,1935,2,552,263435
7200,7,9,1936,560,1135,2,576,155000
8281,5,5,1965,864,864,1,360,62383
11988,6,7,1934,715,1660,1,240,188700
8430,5,5,1978,1040,1040,0,0,124000
3072,7,5,2004,1375,1414,2,398,178740
10628,7,5,1970,1277,1277,2,526,167000
9480,5,7,1942,728,1644,1,312,146500
11428,8,5,2006,1626,1634,3,866,250000
9291,6,5,1993,832,1710,2,506,187000
6820,8,5,1985,1488,1502,2,528,212000
11952,7,6,1977,808,1969,2,534,190000
3675,6,5,2005,547,1072,2,525,148000
14977,8,5,2006,1976,1976,3,908,440000
5330,8,5,2000,1494,1652,2,499,251000
8480,5,6,1963,970,970,2,624,132500
13125,6,5,1997,1478,1493,2,508,208900
13693,9,5,2006,2153,2643,3,694,380000
10637,8,5,2007,1705,1718,3,826,297000
5925,4,7,1937,907,1131,2,672,89471
16033,9,5,2004,1833,1850,3,772,326000
11846,9,5,2003,1792,1792,3,874,374000
2500,7,8,1915,910,1826,1,164,155000
4500,6,5,1998,1216,1216,2,402,164000
7758,5,7,1962,999,999,1,264,132500
9600,5,7,1950,1113,1113,1,264,147000
10289,5,7,1965,1073,1073,2,515,156000
12243,5,6,1971,1484,1484,2,487,175000
10800,5,4,1900,954,2414,2,520,160000
1526,4,8,1970,630,630,1,286,86000
2665,5,6,1976,264,1304,1,336,115000
9490,6,7,1941,806,1578,1,240,133000
15578,6,5,2006,728,1456,2,429,172785
7931,5,6,1960,1269,1269,1,308,155000
5784,5,8,1938,190,886,1,273,91300
7879,4,5,1920,720,720,0,0,34900
12692,8,5,1992,3200,3228,2,546,430000
9120,7,6,1925,1026,1820,1,240,184000
7800,5,7,1967,864,899,1,288,130000
7535,5,7,1958,912,912,1,297,120000
1890,6,5,1973,672,1218,1,264,113000
9803,7,5,2005,866,1768,2,603,226700
9170,5,7,1965,1214,1214,2,461,140000
15602,7,8,1959,1501,1801,2,484,289000
2308,6,5,1974,855,1322,2,440,147000
7596,5,5,1952,960,1960,2,400,124500
9554,8,5,1993,777,1911,2,471,215000
7862,6,5,2009,1218,1218,2,676,208300
9600,7,9,1928,689,1378,2,360,161000
9600,5,6,1959,1041,1041,1,270,124500
14559,5,7,1951,1008,1363,1,288,164900
6792,7,5,2005,1368,1368,2,474,202665
9100,5,5,1958,864,864,2,624,129900
9187,6,5,1983,1084,1080,2,484,134000
10594,5,5,1926,768,789,1,200,96500
12220,10,5,2009,2006,2020,3,900,402861
10448,6,6,1972,689,2119,2,583,158000
10208,7,5,1996,1264,2344,3,889,265000
9531,6,5,1998,794,1796,2,546,211000
10918,7,9,1926,1276,2080,1,282,234000
10800,4,7,1900,0,1294,0,0,106250
11988,6,6,1957,1244,1244,1,336,150000
5000,6,7,1947,1004,1664,2,420,159000
40094,10,5,2007,3138,4676,3,884,184750
11787,7,5,1996,1379,2398,3,834,315750
7500,7,5,2005,1257,1266,2,453,176000
13300,5,7,1956,928,928,1,252,132000
14948,9,5,2008,1452,2713,3,858,446261
9098,4,7,1920,528,605,0,0,86000
32668,6,3,1957,2035,2515,2,484,200624
10200,6,5,1988,1461,1509,2,600,175000
6155,6,8,1920,611,1362,2,502,128000
7200,5,7,1955,0,827,1,392,107500
5000,1,3,1946,0,334,0,0,39300
9056,8,5,2004,707,1414,2,403,178000
7000,5,7,1910,1117,1347,0,0,107500
8924,7,5,1998,880,1724,2,527,188000
12735,4,5,1972,864,864,2,576,111250
11553,5,5,1968,1051,1159,1,336,158000
11423,8,5,2001,1581,1601,2,670,272000
14601,9,5,2006,1838,1838,3,765,315000
11000,8,5,2000,969,2285,3,648,248000
10140,7,5,1998,1650,1680,2,583,213250
4058,7,5,1998,723,767,1,367,133000
17104,7,5,2006,654,1496,2,426,179665
13837,7,5,1988,1204,2183,3,786,229000
8737,6,7,1923,1065,1635,2,440,210000
7244,5,7,1970,768,768,2,624,129500
8235,5,7,1955,825,825,2,720,125000
9375,7,5,2003,912,2094,2,615,263000
4043,6,6,1977,1069,1069,2,440,140000
6000,5,6,1957,928,928,1,288,112500
11146,8,5,2006,1709,1717,3,908,255500
8777,4,5,1949,0,1126,2,520,108000
10625,7,5,2003,998,2046,3,871,284000
6380,5,6,1922,993,1048,1,280,113000
14850,5,5,1957,1092,1092,1,299,141000
11040,4,6,1920,637,1336,1,570,108000
21872,7,5,1996,729,1446,2,406,175000
3196,7,5,2003,1374,1557,2,420,234000
11341,5,6,1957,1392,1392,2,528,121500
10010,5,5,1974,1389,1389,2,418,170000
13907,5,6,1940,996,996,0,0,108000
21780,6,7,1918,1163,1674,2,396,185000
13346,7,5,1992,1095,2295,2,590,268000
6858,6,4,1915,806,1647,1,216,128000
11198,9,5,2005,1122,2504,3,656,325000
10171,7,5,2004,1517,1535,2,532,214000
12327,8,8,1983,1496,2132,2,612,316600
7032,5,5,1979,943,943,2,600,135960
13101,5,5,1965,1728,1728,2,576,142600
7332,6,6,1959,864,864,1,288,120000
13159,7,5,2009,846,1692,2,650,224500
9967,7,5,2000,384,1430,2,400,170000
10500,5,7,1971,372,1109,1,288,139000
8480,5,5,1947,832,1216,1,336,118500
6292,7,7,1928,861,1477,1,216,145000
11777,5,6,1966,1164,1320,2,564,164500
3604,7,5,2007,689,1392,2,540,146000
12150,5,5,1954,1050,1795,1,352,131500
14585,6,6,1960,1144,1429,2,572,181900
12704,8,5,2008,2042,2042,3,1390,253293
11841,6,5,1990,816,816,0,0,118500
13500,10,9,1893,1237,2775,2,880,325000
6120,4,7,1935,884,1573,1,240,133000
11443,8,5,2005,1868,2028,3,880,369900
10267,6,7,1918,816,838,1,275,130000
8740,5,6,1982,840,860,2,528,137000
25095,5,8,1968,1437,1473,1,452,143000
9100,5,6,1930,742,935,1,308,79500
8320,7,5,2004,770,1582,2,520,185900
13478,10,5,2008,1722,2296,3,842,451950
6600,5,8,1982,816,816,2,816,138000
4435,6,5,2003,848,848,2,420,140000
7990,5,6,1975,924,924,1,280,110000
11302,8,5,2005,1814,1826,3,758,319000
3600,6,7,1910,684,1368,1,216,114504
3922,7,5,2006,1258,1402,3,648,194201
12984,5,6,1977,1430,1647,2,621,217500
1950,6,6,1980,716,1556,2,452,151000
10927,8,5,2005,1058,1904,2,736,275000
9000,6,6,1937,780,1375,1,544,141000
10041,8,5,1992,908,1915,2,506,220000
3182,7,5,2004,600,1200,2,480,151000
12803,7,5,2002,1494,1494,2,530,221000
13600,7,6,1965,768,1986,2,486,205000
12464,5,5,1996,1040,1040,2,576,152000
7800,5,8,1948,896,2008,1,230,225000
12168,8,6,1934,965,3194,2,380,359100
7943,4,5,1961,1029,1029,1,261,118500
11050,9,5,2000,1440,2153,3,736,313000
10395,6,6,1978,1032,1032,2,564,148000
11885,8,5,2001,1299,1872,2,531,261500
8402,5,5,2007,1120,1120,0,0,147000
1491,4,6,1972,630,630,0,0,75500
8800,6,7,1963,936,1054,2,480,137500
7861,6,5,2002,783,1509,2,393,183200
7227,6,6,1954,832,832,2,528,105500
11694,9,5,2007,1822,1828,3,774,314813
12244,8,5,2003,1482,2262,3,749,305000
8248,3,3,1914,864,864,0,0,67000
